method,mean_improvement,improvement_se,median_improvement,lower_quartile,upper_quartile,unsafe_rate,deployment_rate,unsafe_se
complete_case,0.02014356410289804,0.004501459771340267,0.03691598485246739,-0.006205234301489004,0.06480709314925626,0.26,1.0,0.031016124838541645
zero_fill,-0.18672639479587125,0.012119046475424836,-0.14361662072478798,-0.2662229460587917,-0.06228785534485237,0.92,1.0,0.019183326093250873
absolute_robust,0.010275644081215077,0.004947224995412275,0.03188472976140644,-0.021828957469414934,0.058889330065693746,0.32,1.0,0.03298484500494128
separate_safe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct_safe,0.049223752041681834,0.0012040551248658428,0.048983813005710974,0.037839898779583714,0.059083414989177796,0.0,1.0,0.0
