gamma_true,gamma_assumed,covered,unsafe_rate,deployment_rate,mean_improvement,mean_certificate,unsafe_se
1.0,1.0,True,0.0,1.0,0.07907590144786829,0.0790759014478683,0.0
1.0,1.5,True,0.0,1.0,0.07475873925063653,0.04967009261380848,0.0
1.0,2.0,True,0.0,1.0,0.06615493504501536,0.03314863506058682,0.0
1.0,3.0,True,0.0,1.0,0.04979029488835127,0.016461351495381155,0.0
1.0,5.0,True,0.0,0.97,0.02566926810789813,0.004787053819025249,0.0
1.5,1.0,False,0.1,1.0,0.049999805537264734,0.10175646062021004,0.030000000000000002
1.5,1.5,True,0.0,1.0,0.0723503097798079,0.04906235058979308,0.0
1.5,2.0,True,0.0,1.0,0.06467862863958386,0.032697596317406756,0.0
1.5,3.0,True,0.0,1.0,0.04829365931928335,0.016061913184528737,0.0
1.5,5.0,True,0.0,0.99,0.024612989759031815,0.004658455597428066,0.0
2.0,1.0,False,0.27,1.0,0.010977147336463862,0.1393391113755716,0.044395945760846225
2.0,1.5,False,0.0,1.0,0.06409904563894628,0.05443136953528475,0.0
2.0,2.0,True,0.0,1.0,0.06296912008681774,0.03280603300158308,0.0
2.0,3.0,True,0.0,1.0,0.046867165910043446,0.015912349122190063,0.0
2.0,5.0,True,0.0,0.97,0.023030449537006958,0.004629278322871354,0.0
3.0,1.0,False,0.64,1.0,-0.06076282435100023,0.21581491115729098,0.048
3.0,1.5,False,0.25,1.0,0.025210098768606897,0.09334176947488221,0.04330127018922193
3.0,2.0,False,0.04,1.0,0.04910839925332963,0.04768777468862462,0.019595917942265423
3.0,3.0,True,0.0,1.0,0.04703321231522457,0.017687586690320545,0.0
3.0,5.0,True,0.0,0.99,0.025274576333098014,0.0050105001640043,0.0
5.0,1.0,False,0.91,1.0,-0.24586417501140143,0.32599684129189505,0.028618176042508364
5.0,1.5,False,0.75,1.0,-0.09252769902742575,0.15248817797589778,0.04330127018922193
5.0,2.0,False,0.4,1.0,-0.009153348363036811,0.07882465318332825,0.04898979485566356
5.0,3.0,False,0.11,1.0,0.029653652815885653,0.02334547031374851,0.03128897569432403
5.0,5.0,True,0.0,1.0,0.019081220378111198,0.0038580101841422976,0.0
