policy,action_0_probability,action_1_probability,action_2_probability,robust_improvement
baseline,0.2,0.35,0.45,0.0
deterministic_0,1.0,0.0,0.0,-0.4925
deterministic_1,0.0,1.0,0.0,-0.09250000000000003
deterministic_2,0.0,0.0,1.0,-0.09249999999999994
lp_randomized,0.0,0.35000000000000003,0.6499999999999999,0.029999999999999985
