identified_width,deterministic_minimax_regret,randomized_minimax_regret,optimal_candidate_probability
0.02,0.01,0.005,0.5
0.04,0.02,0.01,0.5
0.06,0.03,0.015,0.5
0.08,0.04,0.02,0.5
0.1,0.05,0.025000000000000005,0.5
0.12000000000000001,0.060000000000000005,0.030000000000000002,0.5
0.13999999999999999,0.06999999999999999,0.034999999999999996,0.5
0.16,0.08,0.04,0.5
0.18,0.09,0.045,0.5
0.19999999999999998,0.09999999999999999,0.049999999999999996,0.5
0.22,0.11,0.055,0.5
0.24,0.12,0.06,0.5
0.26,0.13,0.065,0.5
0.28,0.14,0.07,0.5
0.30000000000000004,0.15000000000000002,0.07500000000000001,0.5
0.32,0.16,0.08,0.5
0.34,0.17,0.085,0.5
0.36000000000000004,0.18000000000000002,0.09000000000000001,0.5
0.38,0.19,0.095,0.5
0.4,0.2,0.10000000000000002,0.5
0.42000000000000004,0.21000000000000002,0.10500000000000001,0.5
0.44,0.22,0.11,0.5
0.46,0.23,0.115,0.5
0.48000000000000004,0.24000000000000002,0.12000000000000001,0.5
0.5,0.25,0.125,0.5
0.52,0.26,0.13,0.5
0.54,0.27,0.135,0.5
0.56,0.28,0.14,0.5
0.5800000000000001,0.29000000000000004,0.14500000000000002,0.5
0.6,0.3,0.15,0.5
0.62,0.31,0.155,0.5
0.64,0.32,0.16,0.5
0.66,0.33,0.165,0.5
0.68,0.34,0.17,0.5
0.7000000000000001,0.35000000000000003,0.17500000000000002,0.5
0.7200000000000001,0.36000000000000004,0.18000000000000002,0.5
0.74,0.37,0.185,0.5
0.76,0.38,0.19,0.5
0.78,0.39,0.195,0.5
0.8,0.4,0.20000000000000004,0.5
