n,q_0_1,q_0_2,q_0_3,q_0_4,q_0_6,q_0_8,q_1_0
100,0.0,0.0,0.0,0.0,0.002,0.019,0.173
300,0.0,0.0,0.001,0.004,0.035,0.351,0.946
1000,0.0,0.003,0.006,0.024,0.598,0.989,1.0
3000,0.001,0.002,0.036,0.334,1.0,1.0,1.0
10000,0.0,0.008,0.416,0.992,1.0,1.0,1.0
