baseline_exploration,method,mean_improvement,improvement_se,unsafe_rate,deployment_rate,unsafe_se
0.05,complete_case,-0.01259227673431865,0.005735653238642915,0.48,1.0,0.049959983987187186
0.05,direct_safe,0.0236047042311338,0.0008462626236156411,0.0,1.0,0.0
0.1,complete_case,0.028736821490411617,0.00601164695454781,0.25,1.0,0.04330127018922193
0.1,direct_safe,0.04747216437042638,0.0016856041807438607,0.0,1.0,0.0
0.2,complete_case,0.11114386792147958,0.006705779905874039,0.09,1.0,0.02861817604250837
0.2,direct_safe,0.09576425739338483,0.0033339561115363118,0.0,1.0,0.0
0.4,complete_case,0.27496435139204717,0.008450972792314835,0.01,1.0,0.0099498743710662
0.4,direct_safe,0.19411492364688815,0.006550203175936955,0.0,1.0,0.0
