q,p,exact_width,envelope
0.2,0.001,0.0021283650177962954,0.4
0.2,0.003495,0.0073955982420817875,0.4
0.2,0.00599,0.012602076752039141,0.4
0.2,0.008485,0.01774865087393042,0.4
0.2,0.01098,0.022836154032779644,0.4
0.2,0.013475,0.027865403160541934,0.4
0.2,0.015969999999999998,0.03283719909240572,0.4
0.2,0.018465,0.03775232695162745,0.4
0.2,0.02096,0.04261155652328306,0.4
0.2,0.023455,0.0474156426173054,0.4
0.2,0.02595,0.05216532542116364,0.4
0.2,0.028444999999999998,0.05686133084252604,0.4
0.2,0.03094,0.06150437084223575,0.4
0.2,0.033435,0.0660951437579164,0.4
0.2,0.03593,0.07063433461851228,0.4
0.2,0.038425,0.07512261545005719,0.4
0.2,0.04092,0.07956064557295467,0.4
0.2,0.043414999999999995,0.08394907189104217,0.4
0.2,0.04591,0.08828852917270165,0.4
0.2,0.048405,0.09257964032426956,0.4
0.2,0.0509,0.09682301665599015,0.4
0.2,0.053395,0.10101925814074704,0.4
0.2,0.055889999999999995,0.10516895366579948,0.4
0.2,0.058385,0.10927268127774188,0.4
0.2,0.06088,0.11333100842089756,0.4
0.2,0.06337499999999999,0.11734449216934915,0.4
0.2,0.06587,0.12131367945280276,0.4
0.2,0.068365,0.12523910727647403,0.4
0.2,0.07085999999999999,0.12912130293517948,0.4
0.2,0.07335499999999999,0.1329607842218084,0.4
0.2,0.07585,0.1367580596303465,0.4
0.2,0.078345,0.1405136285536142,0.4
0.2,0.08084,0.14422798147587948,0.4
0.2,0.08333499999999999,0.14790160016049686,0.4
0.2,0.08582999999999999,0.15153495783272197,0.4
0.2,0.088325,0.15512851935784364,0.4
0.2,0.09082,0.15868274141477107,0.4
0.2,0.093315,0.16219807266521122,0.4
0.2,0.09580999999999999,0.16567495391856368,0.4
0.2,0.09830499999999999,0.1691138182926579,0.4
0.2,0.1008,0.17251509137045404,0.4
0.2,0.103295,0.17587919135282318,0.4
0.2,0.10579,0.17920652920751978,0.4
0.2,0.10828499999999999,0.1824975088144551,0.4
0.2,0.11077999999999999,0.18575252710737747,0.4
0.2,0.11327499999999999,0.1889719742120606,0.4
0.2,0.11577,0.1921562335810991,0.4
0.2,0.118265,0.19530568212540617,0.4
0.2,0.12075999999999999,0.19842069034250692,0.4
0.2,0.12325499999999999,0.2015016224417146,0.4
0.2,0.12574999999999997,0.20454883646627867,0.4
0.2,0.128245,0.20756268441258685,0.4
0.2,0.13074,0.21054351234650265,0.4
0.2,0.133235,0.2134916605169175,0.4
0.2,0.13573,0.2164074634665928,0.4
0.2,0.138225,0.2192912501403658,0.4
0.2,0.14071999999999998,0.22214334399079128,0.4
0.2,0.14321499999999998,0.22496406308128714,0.4
0.2,0.14570999999999998,0.2277537201868522,0.4
0.2,0.148205,0.23051262289241953,0.4
0.2,0.1507,0.23324107368891003,0.4
0.2,0.153195,0.23593937006704635,0.4
0.2,0.15569,0.238607804608986,0.4
0.2,0.158185,0.24124666507783166,0.4
0.2,0.16068,0.24385623450507424,0.4
0.2,0.163175,0.2464367912760223,0.4
0.2,0.16566999999999998,0.24898860921327004,0.4
0.2,0.16816499999999998,0.25151195765825557,0.4
0.2,0.17065999999999998,0.2540071015509571,0.4
0.2,0.17315499999999998,0.2564743015077763,0.4
0.2,0.17565,0.2589138138976543,0.4
0.2,0.178145,0.26132589091646596,0.4
0.2,0.18064,0.26371078065973436,0.4
0.2,0.183135,0.2660687271937109,0.4
0.2,0.18563,0.268399970624859,0.4
0.2,0.188125,0.2707047471677833,0.4
0.2,0.19061999999999998,0.2729832892116422,0.4
0.2,0.19311499999999998,0.2752358253850819,0.4
0.2,0.19560999999999998,0.27746258061972784,0.4
0.2,0.19810499999999998,0.27966377621226957,0.4
0.2,0.2006,0.2818396298851737,0.4
0.2,0.203095,0.2839903558460574,0.4
0.2,0.20559,0.2861161648457561,0.4
0.2,0.208085,0.28821726423511596,0.4
0.2,0.21058,0.29029385802054336,0.4
0.2,0.213075,0.292346146918339,0.4
0.2,0.21556999999999998,0.294374328407847,0.4
0.2,0.21806499999999998,0.2963785967834484,0.4
0.2,0.22055999999999998,0.2983591432054233,0.4
0.2,0.22305499999999998,0.30031615574971016,0.4
0.2,0.22554999999999997,0.30224981945658924,0.4
0.2,0.228045,0.30416031637831287,0.4
0.2,0.23054,0.30604782562570765,0.4
0.2,0.233035,0.30791252341377484,0.4
0.2,0.23553,0.3097545831063083,0.4
0.2,0.238025,0.31157417525955483,0.4
0.2,0.24051999999999998,0.31337146766493806,0.4
0.2,0.24301499999999998,0.3151466253908677,0.4
0.2,0.24550999999999998,0.3168998108236537,0.4
0.2,0.24800499999999998,0.3186311837075469,0.4
0.2,0.25049999999999994,0.32034090118392466,0.4
0.2,0.25299499999999997,0.32202911782964033,0.4
0.2,0.25549,0.3236959856945567,0.4
0.2,0.25798499999999996,0.3253416543382794,0.4
0.2,0.26048,0.3269662708661092,0.4
0.2,0.26297499999999996,0.3285699799642296,0.4
0.2,0.26547,0.33015292393414714,0.4
0.2,0.267965,0.3317152427263987,0.4
0.2,0.27046,0.3332570739735446,0.4
0.2,0.272955,0.3347785530224591,0.4
0.2,0.27545,0.336279812965937,0.4
0.2,0.277945,0.3377609846736278,0.4
0.2,0.28043999999999997,0.3392221968223124,0.4
0.2,0.282935,0.3406635759255381,0.4
0.2,0.28542999999999996,0.34208524636262183,0.4
0.2,0.287925,0.34348733040703705,0.4
0.2,0.29041999999999996,0.34486994825419687,0.4
0.2,0.292915,0.3462332180486446,0.4
0.2,0.29541,0.3475772559106638,0.4
0.2,0.297905,0.34890217596232215,0.4
0.2,0.3004,0.3502080903529563,0.4
0.2,0.30289499999999997,0.3514951092841117,0.4
0.2,0.30539,0.35276334103394885,0.4
0.2,0.30788499999999996,0.35401289198112257,0.4
0.2,0.31038,0.35524386662814944,0.4
0.2,0.31287499999999996,0.3564563676242703,0.4
0.2,0.31537,0.3576504957878176,0.4
0.2,0.31786499999999995,0.35882635012809866,0.4
0.2,0.32036,0.3599840278668029,0.4
0.2,0.322855,0.36112362445894186,0.4
0.2,0.32535,0.36224523361333183,0.4
0.2,0.327845,0.3633489473126259,0.4
0.2,0.33033999999999997,0.3644348558329061,0.4
0.2,0.332835,0.3655030477628405,0.4
0.2,0.33532999999999996,0.366553610022417,0.4
0.2,0.337825,0.3675866278812571,0.4
0.2,0.34031999999999996,0.36860218497652114,0.4
0.2,0.342815,0.3696003633304096,0.4
0.2,0.34530999999999995,0.37058124336726855,0.4
0.2,0.347805,0.37154490393030576,0.4
0.2,0.3503,0.3724914222979245,0.4
0.2,0.35279499999999997,0.3734208741996812,0.4
0.2,0.35529,0.3743333338318732,0.4
0.2,0.35778499999999996,0.37522887387276377,0.4
0.2,0.36028,0.37610756549744806,0.4
0.2,0.36277499999999996,0.3769694783923691,0.4
0.2,0.36527,0.377814680769486,0.4
0.2,0.36776499999999995,0.3786432393801029,0.4
0.2,0.37026,0.37945521952836203,0.4
0.2,0.37275499999999995,0.38025068508440657,0.4
0.2,0.37525,0.3810296984972192,0.4
0.2,0.377745,0.3817923208071397,0.4
0.2,0.38023999999999997,0.38253861165806874,0.4
