library_size,complete_case_then_select,pointwise_then_select,simultaneous
1,1.0,0.012333333333333333,0.012333333333333333
5,1.0,0.06533333333333333,0.009
10,1.0,0.11666666666666667,0.007333333333333333
25,1.0,0.281,0.007
50,1.0,0.48933333333333334,0.004333333333333333
100,1.0,0.7433333333333333,0.0036666666666666666
