n,adjusted_power,adjusted_false_deployment,plugin_false_deployment
100,0.004,0.0,0.301
300,0.186,0.0,0.175
1000,0.99,0.0,0.052
3000,1.0,0.0,0.002
10000,1.0,0.0,0.0
