gamma,candidate_lower,baseline_upper,improvement_certificate
1.0,0.6,0.4,0.19999999999999996
1.01,0.598804780876494,0.401195219123506,0.19760956175298805
1.02,0.5976190476190476,0.4023809523809524,0.1952380952380952
1.03,0.5964426877470356,0.40355731225296443,0.19288537549407114
1.04,0.5952755905511811,0.40472440944881893,0.19055118110236213
1.05,0.5941176470588235,0.40588235294117647,0.18823529411764706
1.06,0.59296875,0.40703125000000007,0.18593749999999998
1.07,0.591828793774319,0.4081712062256809,0.18365758754863803
1.08,0.5906976744186045,0.40930232558139534,0.1813953488372092
1.09,0.5895752895752895,0.41042471042471046,0.17915057915057903
1.1,0.5884615384615384,0.4115384615384616,0.1769230769230768
1.11,0.5873563218390805,0.41264367816091957,0.17471264367816092
1.12,0.5862595419847327,0.4137404580152672,0.17251908396946553
1.13,0.5851711026615969,0.414828897338403,0.17034220532319388
1.1400000000000001,0.584090909090909,0.41590909090909095,0.16818181818181804
1.15,0.5830188679245283,0.4169811320754717,0.16603773584905657
1.16,0.5819548872180451,0.4180451127819549,0.16390977443609023
1.17,0.5808988764044943,0.4191011235955056,0.16179775280898873
1.18,0.5798507462686566,0.42014925373134326,0.15970149253731336
1.19,0.578810408921933,0.42118959107806686,0.15762081784386617
1.2,0.5777777777777777,0.4222222222222222,0.1555555555555555
1.21,0.5767527675276752,0.4232472324723247,0.15350553505535053
1.22,0.575735294117647,0.42426470588235293,0.15147058823529408
1.23,0.5747252747252747,0.42527472527472526,0.14945054945054942
1.24,0.5737226277372263,0.42627737226277373,0.14744525547445253
1.25,0.5727272727272728,0.42727272727272725,0.1454545454545455
1.26,0.5717391304347825,0.42826086956521736,0.14347826086956517
1.27,0.5707581227436822,0.4292418772563177,0.14151624548736452
1.28,0.5697841726618704,0.43021582733812946,0.13956834532374096
1.29,0.5688172043010753,0.4311827956989247,0.1376344086021506
1.3,0.5678571428571428,0.43214285714285716,0.13571428571428568
1.31,0.5669039145907473,0.4330960854092527,0.1338078291814946
1.32,0.5659574468085106,0.4340425531914893,0.13191489361702124
1.33,0.5650176678445229,0.434982332155477,0.1300353356890459
1.34,0.5640845070422535,0.43591549295774645,0.1281690140845071
1.35,0.5631578947368421,0.4368421052631579,0.12631578947368416
1.3599999999999999,0.5622377622377622,0.43776223776223777,0.12447552447552446
1.37,0.5613240418118466,0.4386759581881533,0.12264808362369328
1.38,0.5604166666666667,0.4395833333333333,0.12083333333333335
1.3900000000000001,0.5595155709342561,0.4404844290657439,0.11903114186851216
