instance,n,method,deploy_rate,unsafe_rate,median_positive_certificate,true_candidate_improvement
adversarial_null,100,simultaneous_robust_certificate,0.0,0.0,0.0,-0.040000000000000036
adversarial_null,100,complete_case_plugin,0.828,0.828,,-0.040000000000000036
adversarial_null,300,simultaneous_robust_certificate,0.0,0.0,0.0,-0.040000000000000036
adversarial_null,300,complete_case_plugin,0.972,0.972,,-0.040000000000000036
adversarial_null,1000,simultaneous_robust_certificate,0.0,0.0,0.0,-0.040000000000000036
adversarial_null,1000,complete_case_plugin,1.0,1.0,,-0.040000000000000036
adversarial_null,3000,simultaneous_robust_certificate,0.0,0.0,0.0,-0.040000000000000036
adversarial_null,3000,complete_case_plugin,1.0,1.0,,-0.040000000000000036
adversarial_null,10000,simultaneous_robust_certificate,0.0,0.0,0.0,-0.040000000000000036
adversarial_null,10000,complete_case_plugin,1.0,1.0,,-0.040000000000000036
robust_alternative,100,simultaneous_robust_certificate,0.012,0.0,0.0,0.30000000000000004
robust_alternative,100,complete_case_plugin,0.998,0.0,,0.30000000000000004
robust_alternative,300,simultaneous_robust_certificate,0.332,0.0,0.0,0.30000000000000004
robust_alternative,300,complete_case_plugin,1.0,0.0,,0.30000000000000004
robust_alternative,1000,simultaneous_robust_certificate,0.994,0.0,0.09280148523098408,0.30000000000000004
robust_alternative,1000,complete_case_plugin,1.0,0.0,,0.30000000000000004
robust_alternative,3000,simultaneous_robust_certificate,1.0,0.0,0.15314484344451135,0.30000000000000004
robust_alternative,3000,complete_case_plugin,1.0,0.0,,0.30000000000000004
robust_alternative,10000,simultaneous_robust_certificate,1.0,0.0,0.18827909121875078,0.30000000000000004
robust_alternative,10000,complete_case_plugin,1.0,0.0,,0.30000000000000004
